Date,Adj Close,Volume,1 Mo,3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,30 Yr,Adj Close AMD,Adj Close Intel,Adj Close Broadcom
11/10/2015,30.040787,13806500,0.08,0.13,0.34,0.51,1.22,1.72,2.32,3.1,2.02,29.243914,103.847
11/11/2015,29.748278,15497400,0.08,0.13,0.34,0.51,1.22,1.72,2.32,3.1,2.07,28.935717,103.924988
11/12/2015,29.641022,7277000,0.08,0.14,0.35,0.51,1.24,1.73,2.32,3.09,2,28.530649,103.838364
11/13/2015,29.056,7323500,0.03,0.14,0.31,0.5,1.2,1.67,2.28,3.06,1.99,28.27528,101.83696
11/16/2015,29.641022,8607000,0.05,0.15,0.33,0.5,1.18,1.66,2.27,3.07,1.99,28.266476,105.24192
11/17/2015,29.641022,6426200,0.07,0.14,0.34,0.5,1.18,1.66,2.25,3.04,1.98,28.741985,105.753105
11/18/2015,30.370182,8755400,0.07,0.12,0.31,0.49,1.21,1.69,2.27,3.04,2.12,29.199883,109.097397
11/19/2015,30.458263,6351800,0.06,0.11,0.31,0.49,1.21,1.68,2.24,3,2.14,30.203743,108.482262
11/20/2015,30.722525,5993600,0.05,0.12,0.31,0.49,1.23,1.7,2.26,3.02,2.22,30.520742,109.513298
11/23/2015,30.262524,6063800,0.06,0.14,0.35,0.5,1.26,1.7,2.25,3,2.22,30.362242,107.789154
11/24/2015,30.507206,4885700,0.13,0.16,0.36,0.52,1.23,1.66,2.24,3,2.34,30.256578,111.194092
11/25/2015,30.468054,3457500,0.14,0.19,0.39,0.52,1.25,1.66,2.23,3,2.38,30.335825,111.237419
11/27/2015,30.722525,2174900,0.13,0.18,0.38,0.5,1.23,1.64,2.22,3,2.33,30.344631,112.666992
11/30/2015,31.045509,8181100,0.11,0.22,0.42,0.51,1.24,1.65,2.21,2.98,2.36,30.617613,113.022209
12/1/2015,32.053604,10237400,0.19,0.21,0.42,0.51,1.19,1.59,2.15,2.91,2.34,30.899395,115.13623
12/2/2015,31.808926,7356000,0.19,0.21,0.42,0.52,1.23,1.63,2.18,2.91,2.27,30.670441,114.547104
12/3/2015,31.740406,6166400,0.18,0.21,0.45,0.57,1.27,1.74,2.33,3.07,2.23,29.974798,125.437737
12/4/2015,33.032341,11468900,0.17,0.23,0.49,0.6,1.25,1.71,2.28,3.01,2.28,30.767311,127.846359
12/7/2015,32.405949,8339700,0.21,0.29,0.57,0.67,1.24,1.67,2.23,2.95,2.36,30.81134,128.946671
12/8/2015,32.846375,7862200,0.23,0.27,0.58,0.76,1.25,1.68,2.24,2.97,2.39,30.599997,128.036972
12/9/2015,32.014458,9316900,0.19,0.26,0.53,0.72,1.22,1.64,2.22,2.97,2.35,30.652842,126.191544
12/10/2015,32.278713,5914900,0.19,0.24,0.55,0.71,1.25,1.68,2.24,2.98,2.45,30.617613,127.647087
12/11/2015,31.799137,5683000,0.15,0.23,0.52,0.68,1.16,1.56,2.13,2.87,2.36,30.177324,125.125824
12/14/2015,31.877434,6897300,0.13,0.26,0.54,0.68,1.25,1.66,2.23,2.96,2.34,30.353434,123.470985
12/15/2015,32.268932,7682400,0.21,0.25,0.54,0.69,1.29,1.71,2.28,3,2.36,30.978647,124.129494
12/16/2015,32.464672,5908900,0.2,0.27,0.51,0.7,1.35,1.75,2.3,3.02,2.54,31.084318,125.04203
12/17/2015,31.975306,6354000,0.18,0.23,0.48,0.69,1.33,1.73,2.24,2.94,2.56,30.740892,122.087173
12/18/2015,31.456579,9897400,0.16,0.19,0.47,0.67,1.27,1.67,2.19,2.9,2.45,29.825087,121.843857
12/21/2015,32.20042,7105400,0.14,0.24,0.51,0.64,1.28,1.67,2.2,2.92,2.53,30.150908,126.710625
12/22/2015,32.229778,3250300,0.19,0.21,0.47,0.66,1.31,1.71,2.24,2.96,2.77,30.58239,126.102303
12/23/2015,32.357021,3063100,0.19,0.2,0.47,0.65,1.32,1.74,2.27,3,2.83,30.820135,127.327675
12/24/2015,32.464672,1311200,0.15,0.2,0.49,0.64,1.33,1.73,2.25,2.96,2.92,30.802536,127.162567
12/28/2015,32.435318,3550600,0.13,0.23,0.51,0.66,1.33,1.73,2.24,2.95,3,30.758511,127.188614
12/29/2015,32.963833,5091500,0.18,0.23,0.5,0.67,1.38,1.81,2.32,3.04,3,31.207596,128.570419
12/30/2015,32.68,4508600,0.08,0.21,0.47,0.64,1.36,1.8,2.31,3.04,2.98,30.81134,128.075073
12/31/2015,32.259144,3713200,0.14,0.16,0.49,0.65,1.31,1.76,2.27,3.01,2.87,30.335825,126.145744
1/4/2016,31.68169,8951900,0.17,0.22,0.49,0.61,1.31,1.73,2.24,2.98,2.77,29.930765,123.651497
1/5/2016,32.190632,12256800,0.2,0.2,0.49,0.68,1.32,1.73,2.25,3.01,2.75,29.789871,119.514732
1/6/2016,30.859547,11233600,0.21,0.21,0.47,0.67,1.26,1.65,2.18,2.94,2.51,29.129444,115.838539
1/7/2016,29.636131,16132600,0.2,0.2,0.46,0.66,1.22,1.61,2.16,2.92,2.28,28.037523,112.153694
1/8/2016,28.999952,9961800,0.2,0.2,0.45,0.64,1.2,1.57,2.13,2.91,2.14,27.746937,111.41497
1/11/2016,29.048891,10234300,0.19,0.21,0.48,0.63,1.2,1.58,2.17,2.96,2.34,28.231255,111.275917
1/12/2016,29.53826,11733900,0.22,0.21,0.47,0.62,1.18,1.55,2.12,2.89,2.39,28.777206,112.909782
1/13/2016,28.637821,12041800,0.22,0.22,0.46,0.6,1.15,1.51,2.08,2.85,2.25,28.099167,107.165215
1/14/2016,28.060366,15005900,0.22,0.25,0.43,0.55,1.14,1.52,2.1,2.9,2.21,28.830046,108.799072
1/15/2016,26.533537,21036300,0.19,0.24,0.37,0.49,1.08,1.46,2.03,2.81,2.03,26.205927,104.26252
1/19/2016,26.748854,11428500,0.21,0.26,0.37,0.48,1.11,1.49,2.06,2.82,1.95,26.241144,104.349434
1/20/2016,26.895666,12029500,0.26,0.26,0.35,0.43,1.06,1.44,2.01,2.77,1.8,26.056234,107.617134
1/21/2016,27.208864,12036400,0.27,0.28,0.38,0.44,1.06,1.44,2.02,2.79,2.09,26.117874,108.225502
1/22/2016,27.845045,6449900,0.26,0.31,0.41,0.47,1.11,1.49,2.07,2.83,2.02,26.355629,108.208115
1/25/2016,27.815683,6768200,0.25,0.31,0.42,0.47,1.1,1.47,2.03,2.8,2.12,26.065037,108.19072
1/26/2016,28.089727,5698600,0.29,0.31,0.45,0.47,1.07,1.45,2.01,2.79,2.07,26.364433,108.103821
1/27/2016,27.756956,5792500,0.28,0.32,0.43,0.47,1.07,1.43,2.02,2.8,2.13,26.24996,106.33091
1/28/2016,27.453547,6919400,0.26,0.35,0.45,0.47,1.05,1.4,2,2.79,2.08,26.39085,109.824562
1/29/2016,28.667181,7762600,0.22,0.33,0.43,0.47,0.97,1.33,1.94,2.75,2.2,27.315454,116.203575
2/1/2016,28.676966,7247100,0.19,0.35,0.47,0.47,1.01,1.38,1.97,2.77,2.14,27.139338,119.653778
2/2/2016,27.463335,8547700,0.26,0.34,0.47,0.54,0.93,1.28,1.87,2.67,1.99,26.241144,115.795113
2/3/2016,27.600359,8169300,0.27,0.33,0.46,0.54,0.91,1.27,1.88,2.7,2.07,26.063488,114.16124
2/4/2016,27.610146,8703500,0.24,0.29,0.43,0.52,0.9,1.25,1.87,2.7,2.09,26.445469,118.298035
2/5/2016,25.867996,15010700,0.23,0.3,0.45,0.55,0.91,1.25,1.86,2.68,1.98,25.796989,111.554039
2/8/2016,24.683723,15221300,0.21,0.32,0.42,0.51,0.83,1.16,1.75,2.56,1.93,25.601557,105.905075
2/9/2016,24.947981,10634300,0.27,0.3,0.43,0.52,0.85,1.15,1.74,2.55,1.9,25.592672,104.036568
2/10/2016,24.889256,8395000,0.27,0.31,0.42,0.52,0.85,1.15,1.71,2.53,1.84,25.077444,103.593323
2/11/2016,24.762024,8503600,0.27,0.28,0.39,0.47,0.81,1.11,1.63,2.5,1.86,25.068556,101.081711
2/12/2016,25.182877,8520400,0.26,0.3,0.39,0.51,0.89,1.2,1.74,2.6,1.83,25.441662,105.731255
2/16/2016,26.416088,12133800,0.23,0.3,0.42,0.51,0.91,1.23,1.78,2.64,1.83,25.566027,109.711609
2/17/2016,27.071842,19286700,0.28,0.3,0.43,0.53,0.93,1.26,1.81,2.68,1.9,26.178967,113.570274
2/18/2016,29.401236,26716500,0.28,0.3,0.45,0.53,0.88,1.21,1.75,2.62,1.91,26.134552,110.432922
2/19/2016,29.792727,13140700,0.26,0.31,0.46,0.53,0.91,1.24,1.76,2.61,1.91,25.503839,111.823448
2/22/2016,30.84976,11241700,0.28,0.33,0.46,0.55,0.92,1.25,1.77,2.62,2.01,26.072369,113.535515
2/23/2016,30.928059,9234500,0.28,0.32,0.47,0.55,0.9,1.23,1.74,2.6,1.97,25.583792,111.380234
2/24/2016,31.143379,8421300,0.28,0.33,0.46,0.55,0.9,1.21,1.75,2.61,2.02,25.930235,113.274803
2/25/2016,31.211897,8740400,0.27,0.32,0.46,0.56,0.85,1.16,1.71,2.58,2.03,26.312222,115.125916
2/26/2016,31.006361,9049100,0.26,0.33,0.47,0.6,0.93,1.23,1.76,2.63,2.07,26.472111,115.682129
2/29/2016,30.804991,8083600,0.23,0.33,0.49,0.62,0.91,1.22,1.74,2.61,2.14,26.285568,116.429504
3/1/2016,32.170383,8717500,0.29,0.33,0.5,0.68,0.98,1.31,1.83,2.7,2.18,26.978464,120.305588
3/2/2016,32.357033,5845300,0.28,0.36,0.48,0.67,1,1.34,1.84,2.69,2.32,27.129478,119.03672
3/3/2016,32.072155,7550100,0.25,0.28,0.46,0.65,0.99,1.33,1.83,2.65,2.46,27.165009,119.349571
3/4/2016,31.97393,4382600,0.25,0.29,0.47,0.67,1.04,1.38,1.88,2.7,2.37,27.209423,126.936615
3/7/2016,31.767639,5999200,0.27,0.32,0.49,0.67,1.08,1.42,1.91,2.71,2.47,27.484808,124.720459
3/8/2016,31.188082,6873500,0.27,0.29,0.48,0.68,1.04,1.34,1.83,2.63,2.3,27.147242,121.348473
3/9/2016,31.168434,5569700,0.27,0.3,0.47,0.68,1.07,1.39,1.9,2.68,2.26,27.422626,123.373421
3/10/2016,31.119326,7152100,0.27,0.32,0.5,0.69,1.11,1.45,1.93,2.7,2.26,27.760187,125.511314
3/11/2016,31.649763,6935000,0.27,0.33,0.51,0.7,1.16,1.49,1.98,2.75,2.52,28.213236,129.335251
3/14/2016,31.728352,4757800,0.28,0.34,0.52,0.7,1.15,1.49,1.97,2.74,2.72,27.920086,128.744278
3/15/2016,31.571182,5655400,0.29,0.34,0.52,0.71,1.16,1.5,1.97,2.73,2.49,28.115519,129.031052
3/16/2016,32.514187,9091100,0.28,0.31,0.47,0.66,1.05,1.41,1.94,2.73,2.63,28.151049,129.597824
3/17/2016,32.239143,8842000,0.29,0.29,0.47,0.64,1.04,1.39,1.91,2.69,2.8,28.408667,132.143906
3/18/2016,33.211628,13637800,0.27,0.3,0.44,0.62,1,1.34,1.88,2.68,2.93,29.030489,132.963531
3/21/2016,33.309849,8444500,0.26,0.31,0.46,0.63,1.05,1.38,1.92,2.72,2.8,28.728464,133.312332
3/22/2016,33.250916,6050300,0.28,0.3,0.46,0.64,1.08,1.42,1.94,2.72,2.79,28.710703,134.942886
3/23/2016,33.820656,10725200,0.27,0.3,0.46,0.64,1.03,1.37,1.88,2.65,2.68,28.42643,133.399536
3/24/2016,33.869762,6123900,0.24,0.3,0.46,0.63,1.05,1.39,1.91,2.67,2.79,28.319832,133.408218
3/28/2016,34.213577,6634700,0.19,0.29,0.49,0.65,1.04,1.37,1.89,2.66,2.78,28.337601,133.495438
3/29/2016,34.763664,6545300,0.18,0.23,0.45,0.63,0.94,1.29,1.81,2.6,2.86,28.763994,134.393555
3/30/2016,35.127113,9417500,0.14,0.2,0.39,0.61,0.91,1.26,1.83,2.65,2.86,29.057142,136.834991
3/31/2016,34.999413,9497100,0.18,0.21,0.39,0.59,0.87,1.21,1.78,2.61,2.85,28.737347,134.716156
4/1/2016,35.510216,8707300,0.2,0.23,0.4,0.62,0.9,1.24,1.79,2.62,2.83,28.826181,137.593597
4/4/2016,35.166401,9848500,0.18,0.23,0.38,0.59,0.88,1.22,1.78,2.6,2.83,28.42643,136.032791
4/5/2016,35.11729,8489200,0.19,0.23,0.36,0.56,0.85,1.17,1.73,2.54,2.76,28.337601,135.178299
4/6/2016,35.166401,11334400,0.19,0.23,0.36,0.55,0.88,1.2,1.76,2.58,2.8,28.497505,137.366882
4/7/2016,34.802956,9452600,0.2,0.23,0.36,0.52,0.83,1.14,1.7,2.52,2.64,28.026686,135.125992
4/8/2016,35.028885,6398400,0.2,0.23,0.34,0.54,0.84,1.16,1.72,2.55,2.74,28.09775,136.154877
4/11/2016,35.244991,9688100,0.19,0.23,0.34,0.53,0.85,1.16,1.73,2.56,2.76,28.133287,135.684052
4/12/2016,35.2057,7319100,0.21,0.22,0.34,0.54,0.9,1.22,1.79,2.61,2.81,28.302071,135.527054
4/13/2016,36.089771,8767900,0.21,0.23,0.36,0.55,0.9,1.22,1.77,2.58,2.8,28.541918,139.058487
4/14/2016,36.188004,10414100,0.21,0.22,0.37,0.55,0.92,1.26,1.8,2.61,2.72,28.248768,138.483017
4/15/2016,36.47287,10924300,0.19,0.22,0.37,0.53,0.87,1.22,1.76,2.56,2.7,27.946735,135.579391
4/18/2016,36.315704,7683000,0.16,0.22,0.35,0.52,0.9,1.24,1.78,2.58,2.76,28.115519,135.936874
4/19/2016,35.667377,7728800,0.18,0.21,0.36,0.53,0.92,1.26,1.79,2.6,2.62,28.071104,131.725418
4/20/2016,35.804909,5004300,0.18,0.23,0.36,0.54,0.97,1.32,1.85,2.66,2.7,28.42643,133.608765
4/21/2016,35.765606,4457000,0.19,0.23,0.37,0.56,0.98,1.35,1.88,2.69,2.62,28.39978,131.969528
4/22/2016,35.62809,5588500,0.19,0.23,0.38,0.56,1.01,1.37,1.89,2.7,3.99,28.106634,131.08017
4/25/2016,35.804909,4799300,0.17,0.25,0.4,0.57,1.01,1.38,1.91,2.72,3.45,27.884554,130.00766
4/26/2016,35.83437,5363400,0.19,0.24,0.43,0.61,1.04,1.4,1.94,2.76,3.66,27.893438,131.455063
4/27/2016,36.649685,8809900,0.18,0.24,0.4,0.58,0.99,1.33,1.87,2.71,3.73,28.204353,132.126465
4/28/2016,35.559338,9530600,0.17,0.22,0.39,0.56,0.93,1.28,1.84,2.68,3.61,27.635822,129.03981
4/29/2016,34.901188,8047600,0.16,0.22,0.4,0.56,0.92,1.28,1.83,2.66,3.55,26.898512,127.086586
5/2/2016,35.362869,6401900,0.11,0.22,0.41,0.55,0.96,1.32,1.88,2.71,3.74,27.191658,127.374374
5/3/2016,34.940483,5600600,0.18,0.21,0.4,0.53,0.92,1.25,1.81,2.66,3.6,26.969582,124.863144
5/4/2016,34.144806,13144100,0.18,0.19,0.39,0.52,0.89,1.23,1.79,2.64,3.6,26.745579,123.877831
5/5/2016,34.351101,6172100,0.2,0.2,0.39,0.51,0.87,1.2,1.76,2.6,3.66,26.79038,124.322556
5/6/2016,34.704735,4581000,0.2,0.19,0.39,0.51,0.9,1.23,1.79,2.62,3.68,26.915817,123.720863
5/9/2016,34.655613,8333400,0.21,0.24,0.38,0.51,0.86,1.2,1.77,2.61,3.65,26.700773,124.165543
5/10/2016,35.323578,6741900,0.25,0.24,0.36,0.52,0.88,1.2,1.77,2.61,3.64,27.005419,126.092606
5/11/2016,35.421799,8204400,0.25,0.26,0.37,0.53,0.87,1.2,1.73,2.58,3.65,26.933737,125.429916
5/12/2016,34.940483,16763500,0.25,0.27,0.37,0.54,0.92,1.24,1.75,2.6,3.59,26.664938,122.979729
5/13/2016,40.25473,52756400,0.25,0.29,0.38,0.55,0.91,1.22,1.71,2.55,3.67,26.799335,122.116516
5/16/2016,41.443314,24325800,0.21,0.28,0.38,0.57,0.94,1.26,1.75,2.59,3.79,27.229418,124.383575
5/17/2016,41.531719,15709800,0.25,0.28,0.4,0.58,0.97,1.29,1.76,2.59,3.79,26.862055,123.093086
5/18/2016,42.592609,13526800,0.25,0.3,0.43,0.63,1.08,1.41,1.87,2.67,3.84,26.871017,125.45607
5/19/2016,42.779247,9972000,0.25,0.31,0.43,0.64,1.06,1.38,1.85,2.64,3.77,26.548456,124.462067
5/20/2016,43.545441,9777100,0.26,0.33,0.46,0.67,1.05,1.38,1.85,2.63,3.87,27.014376,127.941116
5/23/2016,43.614201,10340900,0.26,0.35,0.48,0.69,1.05,1.38,1.84,2.63,4.04,27.086052,129.135712
5/24/2016,44.672924,10394700,0.28,0.35,0.48,0.69,1.08,1.41,1.86,2.65,4.2,27.829735,132.030548
5/25/2016,44.485794,11451900,0.24,0.33,0.47,0.67,1.08,1.4,1.87,2.67,4.18,28.125416,133.905273
5/26/2016,44.958523,7749100,0.17,0.31,0.46,0.65,1.03,1.35,1.83,2.64,4.35,28.215017,133.425674
5/27/2016,45.204739,6935400,0.23,0.32,0.47,0.68,1.06,1.39,1.85,2.65,4.6,28.286694,133.66983
5/31/2016,46.012321,10313100,0.27,0.34,0.49,0.68,1.03,1.37,1.84,2.64,4.57,28.304615,134.594101
6/1/2016,46.100956,9678300,0.27,0.3,0.49,0.7,1.07,1.39,1.85,2.63,4.43,28.367336,134.951599
6/2/2016,46.425961,8230200,0.19,0.29,0.48,0.68,1.03,1.36,1.81,2.58,4.24,28.456938,135.073639
6/3/2016,45.775951,11526900,0.19,0.3,0.43,0.6,0.92,1.23,1.71,2.52,4.16,28.331495,141.744049
6/6/2016,45.539593,8062800,0.19,0.28,0.43,0.6,0.94,1.25,1.73,2.55,4.47,28.38526,141.98822
6/7/2016,45.628227,4835000,0.2,0.28,0.43,0.59,0.94,1.23,1.72,2.54,4.51,28.564455,143.732132
6/8/2016,45.480495,5865400,0.2,0.24,0.43,0.6,0.93,1.23,1.71,2.51,4.46,28.57342,142.738052
6/9/2016,46.662331,11804200,0.21,0.26,0.43,0.59,0.91,1.22,1.68,2.48,4.52,28.618217,143.12175
6/10/2016,45.500195,10000600,0.18,0.26,0.42,0.57,0.87,1.17,1.64,2.44,4.32,28.707817,140.226898
6/13/2016,46.081268,11889700,0.23,0.27,0.4,0.55,0.84,1.14,1.62,2.43,4.4,28.824289,139.520615
6/14/2016,46.169895,7458600,0.24,0.27,0.41,0.55,0.85,1.15,1.62,2.43,4.39,28.797417,138.631226
6/15/2016,46.642624,7525900,0.23,0.26,0.37,0.52,0.81,1.1,1.6,2.43,4.42,28.322538,138.55249
6/16/2016,46.829746,6161400,0.23,0.27,0.36,0.53,0.81,1.1,1.57,2.39,4.75,28.394215,138.753677
6/17/2016,46.012321,11775000,0.22,0.27,0.37,0.51,0.83,1.13,1.62,2.43,5.26,28.456938,136.453201
6/20/2016,46.839603,7344200,0.23,0.28,0.41,0.56,0.87,1.17,1.67,2.47,5.1,28.824289,137.266663
6/21/2016,46.553997,5312700,0.25,0.27,0.41,0.57,0.89,1.22,1.71,2.5,5.45,28.9587,136.287018
6/22/2016,46.514591,5065500,0.25,0.27,0.4,0.56,0.88,1.2,1.69,2.5,5.02,28.931816,135.701004
6/23/2016,47.755516,7447000,0.27,0.31,0.43,0.58,0.92,1.25,1.74,2.55,5.21,29.559019,138.744949
6/24/2016,45.037308,25442100,0.24,0.27,0.38,0.48,0.76,1.08,1.57,2.42,4.88,28.268776,130.085403
6/27/2016,44.554741,11227200,0.22,0.27,0.35,0.45,0.7,1,1.46,2.28,4.72,27.525097,125.633186
6/28/2016,45.204739,9548000,0.25,0.26,0.35,0.45,0.71,1,1.46,2.27,5.12,27.946217,131.00383
6/29/2016,45.943382,7973300,0.18,0.26,0.35,0.46,0.74,1.03,1.5,2.3,5.13,28.609255,135.578491
6/30/2016,46.297928,10773500,0.2,0.26,0.36,0.45,0.71,1.01,1.49,2.3,5.14,29.388775,135.928375
7/1/2016,45.95322,5462200,0.24,0.28,0.37,0.45,0.71,1,1.46,2.24,5.07,29.343981,134.896225
7/5/2016,46.632767,9277100,0.27,0.28,0.35,0.44,0.66,0.94,1.37,2.14,4.96,29.281252,131.869781
7/6/2016,46.92823,6827600,0.26,0.27,0.36,0.46,0.69,0.95,1.38,2.14,5.04,29.541101,131.756088
7/7/2016,48.149452,9885000,0.27,0.29,0.37,0.47,0.69,0.97,1.4,2.14,5.02,29.747169,132.070999
7/8/2016,50.079758,12048300,0.26,0.28,0.36,0.48,0.71,0.95,1.37,2.11,5.1,30.463972,135.701004
7/11/2016,51.232044,11219400,0.28,0.31,0.4,0.5,0.77,1.03,1.43,2.14,5.01,30.804455,137.642868
7/12/2016,52.000221,10919000,0.29,0.29,0.4,0.52,0.81,1.1,1.53,2.24,5.14,31.306213,138.718643
7/13/2016,51.980534,8115100,0.29,0.31,0.4,0.51,0.8,1.07,1.48,2.18,5.09,31.368938,137.686554
7/14/2016,52.512348,7922300,0.29,0.32,0.41,0.53,0.82,1.1,1.53,2.25,5.17,31.539179,140.643005
7/15/2016,51.901737,10715400,0.27,0.32,0.42,0.52,0.87,1.15,1.6,2.3,5.14,31.422695,140.96666
7/18/2016,52.167645,6324800,0.26,0.32,0.44,0.52,0.85,1.14,1.59,2.3,5.51,31.404778,141.990051
7/19/2016,52.709316,9566300,0.29,0.31,0.44,0.56,0.84,1.12,1.56,2.27,5.41,31.494375,140.415619
7/20/2016,53.398716,7411500,0.28,0.32,0.44,0.56,0.86,1.15,1.59,2.3,5.41,31.978216,142.287491
7/21/2016,52.413872,9032700,0.28,0.32,0.44,0.54,0.82,1.11,1.57,2.29,5.22,30.705894,140.310638
7/22/2016,53.841896,7894200,0.29,0.33,0.44,0.55,0.84,1.13,1.57,2.29,5.84,31.055328,139.663361
7/25/2016,54.836597,7813200,0.28,0.32,0.44,0.55,0.87,1.15,1.58,2.29,6.7,31.082211,139.759583
7/26/2016,55.772209,12862700,0.24,0.31,0.43,0.55,0.87,1.15,1.57,2.28,6.98,31.440615,142.960968
7/27/2016,55.21085,11166900,0.25,0.31,0.4,0.53,0.83,1.1,1.52,2.23,6.85,31.207649,144.902817
7/28/2016,55.329025,5547900,0.19,0.25,0.39,0.53,0.82,1.09,1.52,2.23,6.82,31.153894,143.651978
7/29/2016,56.235085,10239700,0.19,0.28,0.38,0.5,0.76,1.03,1.46,2.18,6.86,31.234529,141.683929
8/1/2016,55.870693,7528000,0.2,0.29,0.4,0.5,0.78,1.06,1.51,2.24,6.64,31.225567,143.022202
8/2/2016,55.191139,7068700,0.28,0.29,0.41,0.5,0.79,1.07,1.55,2.29,6.26,30.965733,142.479889
8/3/2016,55.338871,7495700,0.26,0.28,0.42,0.53,0.78,1.07,1.55,2.29,6.3,30.920595,143.547028
8/4/2016,56.363121,6817800,0.24,0.26,0.41,0.51,0.76,1.03,1.51,2.25,6.47,31.218517,146.066162
8/5/2016,57.318428,9289700,0.23,0.28,0.45,0.56,0.86,1.13,1.59,2.32,6.61,31.579636,148.803955
8/8/2016,57.85025,7626600,0.27,0.31,0.45,0.57,0.86,1.15,1.59,2.3,6.68,31.633802,147.255753
8/9/2016,57.997978,9308600,0.27,0.29,0.44,0.55,0.84,1.11,1.55,2.25,6.6,31.525459,149.722412
8/10/2016,57.62373,9393500,0.27,0.28,0.43,0.55,0.8,1.07,1.5,2.23,6.49,31.173378,150.317184
8/11/2016,58.795712,17026600,0.27,0.28,0.45,0.55,0.88,1.16,1.57,2.28,6.58,31.308794,150.527145
8/12/2016,62.085114,35643600,0.27,0.29,0.43,0.56,0.82,1.1,1.51,2.23,6.73,31.20949,150.859512
8/15/2016,62.026028,14332600,0.26,0.31,0.46,0.56,0.85,1.14,1.55,2.27,6.95,31.516438,153.544861
8/16/2016,61.651772,7191300,0.27,0.27,0.45,0.57,0.87,1.16,1.57,2.29,6.78,31.787273,150.798294
8/17/2016,60.223743,14880300,0.27,0.3,0.46,0.58,0.86,1.15,1.56,2.27,6.68,31.615744,151.349335
8/18/2016,61.159348,8292100,0.27,0.3,0.44,0.58,0.81,1.12,1.53,2.26,7.04,31.570608,152.136581
8/19/2016,61.316929,7289000,0.27,0.3,0.44,0.59,0.88,1.17,1.58,2.29,7.62,31.814352,153.011261
