,disbursed_amount,asset_cost,ltv,Employment.Type,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGEACCTAGE,CREDITHISTORYLENGTH,loan_default
277,51803,66960,79.9,Self employed,1,0,13,27,0
278,73023,102462,73.1,Salaried,0,0,0,0,0
279,57863,66373,89.8,Salaried,1,0,5,6,0
280,53703,65188,84.37,Salaried,1,0,11,24,1
281,53478,65368,84.14,Salaried,0,1,31,79,0
282,48996,62188,81.53,Self employed,0,0,0,0,0
283,51078,59115,89.66,Self employed,0,0,0,0,1
284,42244,59981,72.69,Self employed,0,0,0,0,0
285,53303,67394,80.13,Salaried,1,0,31,49,0
286,45349,54270,86.6,Salaried,0,0,9,9,0
287,53759,69502,79.28,Salaried,0,0,0,0,0
288,47854,62188,79.6,Salaried,0,0,0,0,0
289,57613,65215,89.86,Salaried,1,0,7,11,0
290,46749,65368,73.43,Self employed,1,0,2,2,0
291,59463,96296,63.35,Self employed,0,0,0,0,0
292,39092,65188,62.9,Self employed,1,0,8,12,0
293,48349,64217,77.86,Self employed,0,0,0,0,1
294,37439,62188,62.71,Self employed,0,0,9,12,0
295,56493,93494,63.11,Self employed,0,0,0,0,1
296,54222,65368,85,Self employed,5,0,14,38,0
297,54900,66636,85,Self employed,0,0,0,0,1
298,43894,62188,73.17,Salaried,0,0,0,0,0
299,59847,67694,89.96,Self employed,2,1,7,18,0
300,47849,66636,74.28,Self employed,0,0,9,9,0
301,48323,59115,85,Self employed,0,0,19,28,0
302,53759,62188,89.25,Self employed,1,0,11,18,0
303,53192,64987,85,Salaried,0,0,28,28,1
304,63932,89108,73.84,Self employed,0,0,0,0,1
305,50303,62188,83.62,Self employed,1,0,4,4,0
306,58509,66736,89.91,Salaried,0,0,6,6,0
307,50303,69498,74.82,Self employed,0,0,0,0,0
308,50703,67231,77.35,Self employed,0,0,7,7,0
309,55013,65626,86.86,Self employed,0,0,25,58,0
310,30984,57155,56.86,Salaried,0,0,6,6,0
311,69597,96230,74.82,Salaried,0,0,0,0,0
312,48549,71763,69.4,Self employed,0,0,46,46,0
313,51553,66636,79.54,Self employed,0,0,6,6,1
314,52303,62192,86.83,Salaried,0,0,0,0,0
315,54159,62188,89.89,Self employed,0,0,0,0,0
316,57013,65188,89.89,Self employed,0,1,12,32,0
317,53902,62188,89.57,Self employed,1,0,3,3,1
318,51553,66636,79.54,Self employed,0,0,20,66,0
319,53553,65782,83.61,Self employed,1,0,5,9,1
320,53559,62188,88.92,Self employed,0,0,0,0,0
321,46349,68662,69.91,Self employed,0,0,10,11,0
322,29674,65188,47.55,Self employed,0,0,0,0,0
323,43394,64840,69.4,Salaried,0,0,3,3,0
324,54669,65188,85,Salaried,0,0,0,0,0
325,59997,68793,89.83,Salaried,0,0,0,0,0
326,57113,68463,84.86,Salaried,2,0,4,7,0
327,31734,69498,47.48,Self employed,1,0,11,15,0
328,40894,65368,64.25,Self employed,1,0,7,15,1
329,20574,39605,55.55,Self employed,1,0,10,20,0
330,33484,59115,59.21,Self employed,0,0,0,0,0
331,50303,62188,83.62,Salaried,0,0,22,39,0
332,56413,65215,88.94,Salaried,0,0,7,7,0
333,63514,87798,74.6,Self employed,1,0,3,3,0
334,53913,62188,89.89,Salaried,0,0,0,0,0
335,56259,64552,89.85,Self employed,0,0,19,47,0
336,46864,62188,77.99,Self employed,0,0,0,0,0
337,46369,62456,76.85,Self employed,2,0,14,39,0
338,42394,56935,77.28,Self employed,0,0,0,0,0
339,60197,68962,89.9,Self employed,0,0,0,0,0
340,47349,59115,82.89,Self employed,0,0,25,39,0
341,45645,64840,73.26,Salaried,0,0,0,0,0
342,57509,66636,88.54,Salaried,0,0,7,7,1
343,48798,64987,77.71,Self employed,0,0,0,0,0
344,60697,69498,89.93,Self employed,0,0,66,66,1
345,51803,62188,86.03,Salaried,1,0,37,110,0
346,50053,63780,80.75,Self employed,3,0,11,39,0
347,53854,62188,89.89,Self employed,1,0,5,7,0
348,72774,113766,65.84,Salaried,0,0,0,0,0
349,58447,69804,86.67,Salaried,0,0,18,25,0
350,54759,64987,85.4,Self employed,1,0,4,4,1
351,53809,65368,84.37,Self employed,0,0,0,0,0
352,72468,100243,74.72,Salaried,0,0,0,0,0
353,47249,65368,74.2,Salaried,1,0,4,4,1
354,57763,66373,89.64,Salaried,0,0,17,17,0
355,47895,66636,74.28,Self employed,0,0,47,71,0
356,57571,69598,85,Self employed,1,0,0,0,0
357,59897,68662,89.86,Salaried,14,0,2,14,1
358,57509,66358,88.91,Salaried,1,1,10,15,0
359,53078,66636,82.54,Self employed,1,0,20,39,0
360,50078,68463,74.49,Salaried,0,0,0,0,0
361,48749,65368,76.49,Self employed,1,0,11,25,0
362,48349,62630,79.83,Self employed,0,0,18,85,0
363,54215,65368,84.99,Self employed,0,0,0,0,0
364,49778,66636,77.59,Self employed,0,0,0,0,0
365,57013,65368,89.65,Salaried,1,0,4,6,0
366,47599,66373,73.83,Self employed,0,0,0,0,0
367,54078,68463,80.34,Salaried,0,0,0,0,0
368,49068,59115,86.27,Salaried,0,1,12,25,0
369,58259,66736,89.91,Salaried,0,0,21,39,0
370,43210,66636,67.53,Self employed,0,0,0,0,0
371,48803,62188,81.21,Self employed,0,0,0,0,0
372,53854,62188,89.89,Self employed,0,0,0,0,0
373,49703,64297,79.32,Salaried,0,0,0,0,0
374,29036,62188,49.04,Salaried,0,0,0,0,0
375,68873,95422,73.88,Salaried,1,0,2,2,0
376,58013,65564,89.99,Salaried,1,0,4,6,0
377,51246,59115,89.99,Self employed,0,0,8,12,0
378,44349,66636,69.03,Self employed,1,0,13,28,0
379,44049,66636,68.58,Self employed,0,0,11,11,0
380,53403,65368,83.68,Self employed,1,0,4,7,1
381,48749,62188,79.6,Self employed,1,0,5,5,0
382,47545,65188,75.17,Self employed,1,0,16,41,0
383,62463,71524,89.48,Self employed,0,0,0,0,1
384,44599,69498,66.19,Salaried,0,0,0,0,0
385,54222,65368,85,Salaried,0,0,0,0,0
386,48349,66636,75.03,Self employed,1,0,8,13,0
387,47199,66373,73.22,Self employed,0,0,0,0,1
388,57453,68463,85,Salaried,0,0,10,21,0
389,47650,59115,83.74,Salaried,1,0,10,22,0
390,56263,73672,78.73,Salaried,0,0,11,18,0
391,49303,60478,84.33,Salaried,0,0,0,0,0
392,53913,62188,89.89,Salaried,1,0,5,7,0
393,52203,65188,82.07,Self employed,0,0,26,26,0
394,49293,65188,78.24,Self employed,0,0,19,57,0
395,51078,59115,89.66,Self employed,0,0,0,0,0
396,48803,68662,73.55,Salaried,1,1,21,48,0
397,56759,66636,87.79,Self employed,1,1,26,49,0
398,45349,62188,75.58,Self employed,2,0,9,23,1
399,56270,67954,85,Salaried,1,0,2,2,0
400,48349,66600,75.08,Self employed,3,0,15,55,0
401,48145,60500,82.64,Self employed,1,0,6,6,1
402,48145,58600,85.32,Self employed,0,0,0,0,1
403,48145,58600,85.32,Self employed,1,0,18,40,1
404,46145,57100,84.06,Self employed,0,0,0,0,0
405,48349,58600,85.32,Self employed,0,0,0,0,0
406,39087,58600,69.44,Self employed,0,0,0,0,0
407,48145,59200,84.46,Salaried,0,0,0,0,1
408,32484,60640,56.07,Self employed,0,0,39,39,0
409,48349,60640,82.45,Salaried,0,0,46,85,1
410,48599,66245,75.48,Salaried,0,0,9,13,0
411,44349,66890,68.77,Self employed,1,0,1,1,0
412,44599,65610,70.11,Self employed,0,0,16,25,1
413,44145,60640,75.86,Self employed,0,0,2,5,1
414,37439,55702,70.02,Self employed,1,0,9,19,0
415,53303,65610,83.83,Salaried,2,1,7,19,0
416,46599,64226,74.74,Salaried,1,0,2,2,1
417,46145,64226,74.74,Salaried,0,0,0,0,0
418,42394,60640,72.56,Self employed,0,0,0,0,0
419,26529,65610,42.68,Self employed,0,0,0,0,0
420,38689,65610,60.97,Self employed,1,0,5,6,0
421,48349,66500,75.19,Salaried,0,0,0,0,0
422,42394,60640,72.56,Self employed,0,0,6,6,0
423,46599,64226,74.74,Self employed,0,0,23,23,0
424,47349,66510,73.67,Self employed,0,0,0,0,1
425,45349,60640,77.51,Self employed,0,0,0,0,1
426,42394,60640,72.56,Self employed,0,0,0,0,0
427,27529,66500,43.61,Self employed,0,0,0,0,0
428,47349,66500,73.68,Salaried,0,0,0,0,0
429,47349,66330,73.87,Self employed,0,0,30,30,0
430,51553,64245,82.5,Salaried,0,0,10,10,0
431,36439,61504,61.78,Self employed,0,0,0,0,0
432,29484,55702,55.65,Self employed,0,0,0,0,0
433,41394,60640,70.91,Self employed,0,0,13,13,0
434,48599,66245,75.48,Salaried,0,0,48,48,0
435,19574,60640,34.63,Self employed,0,0,0,0,0
436,48349,65450,76.39,Salaried,0,0,9,9,1
437,41394,66500,64.66,Salaried,0,0,17,42,0
438,26779,64226,43.6,Salaried,1,0,6,10,1
439,46349,65450,73.34,Salaried,0,0,0,0,0
440,49553,67430,75.63,Self employed,0,0,0,0,0
441,50303,66500,78.2,Self employed,0,0,0,0,1
442,53303,65610,83.83,Salaried,0,0,6,6,0
443,41394,65610,65.54,Salaried,0,0,0,0,0
444,47349,60640,80.8,Self employed,0,0,0,0,0
445,46599,64226,74.74,Salaried,0,0,6,6,0
446,22574,60640,39.58,Salaried,1,0,5,6,0
447,43394,60640,74.21,Salaried,0,0,0,0,0
448,44349,61654,74.61,Salaried,0,0,6,6,0
449,50303,64226,80.96,Salaried,1,0,1,1,0
450,45349,60640,77.51,Self employed,0,0,0,0,0
451,46599,64226,74.74,Salaried,0,0,0,0,1
452,37439,54516,71.54,Salaried,0,0,6,6,0
453,41394,59300,72.51,Salaried,1,0,5,13,0
454,51553,64226,82.52,Self employed,0,0,32,47,1
455,47349,61845,79.23,Salaried,1,0,23,41,0
456,46599,64095,74.89,Self employed,0,0,0,0,0
457,32484,60640,56.07,Self employed,0,1,34,34,0
458,49553,66245,76.99,Salaried,0,0,0,0,0
459,31484,67630,48.79,Self employed,0,0,0,0,1
460,42394,60640,72.56,Self employed,1,0,1,1,0
461,52303,65610,82.3,Salaried,0,0,58,58,0
462,46349,57157,83.98,Salaried,0,0,6,6,0
463,37439,60640,64.31,Self employed,0,0,20,36,0
464,42394,60640,72.56,Self employed,0,0,26,26,0
465,42394,60640,72.56,Salaried,0,1,6,6,0
466,48599,66245,75.48,Salaried,2,0,1,1,0
467,46599,64226,74.74,Salaried,0,0,25,25,1
468,46599,64226,74.74,Self employed,0,0,13,26,0
469,47349,60640,80.8,Salaried,1,0,4,4,0
470,50553,66245,78.5,Salaried,0,0,0,0,0
471,44599,66245,69.44,Self employed,0,0,23,23,0
472,42394,60640,72.56,Self employed,0,0,0,0,0
473,47349,61340,79.88,Salaried,0,0,0,0,1
474,28529,56000,53.57,Self employed,0,0,6,12,0
475,46599,64226,74.74,Self employed,0,0,0,0,0
476,36439,64226,59.17,Self employed,0,0,0,0,1
477,26529,64226,43.6,Self employed,0,0,31,31,0
478,46599,64226,74.74,Self employed,0,0,10,13,0
479,47599,64226,76.29,Self employed,0,0,33,33,1
480,53553,67630,81.32,Self employed,0,0,14,39,1
481,51553,67630,78.37,Self employed,0,0,0,0,0
482,42644,65610,67.06,Self employed,0,0,0,0,0
483,53578,64374,84.66,Self employed,1,0,14,25,0
484,48349,66283,73.93,Salaried,1,0,16,43,0
485,53078,68351,79,Salaried,0,0,0,0,0
486,57259,76504,75.81,Salaried,0,0,6,6,0
487,43394,61865,72.74,Self employed,0,0,0,0,0
488,57505,68814,85,Self employed,6,0,3,9,0
489,47349,65368,73.43,Salaried,2,0,5,6,0
490,34939,63881,56.35,Self employed,1,0,22,43,0
491,55513,63881,89.07,Self employed,4,0,10,24,0
492,45849,65368,73.43,Self employed,0,0,19,59,0
493,48849,62165,80.43,Salaried,0,0,0,0,0
494,58759,66277,89.77,Self employed,2,0,4,12,0
495,39439,66283,60.35,Salaried,0,0,0,0,1
496,48849,71618,69.81,Salaried,0,0,0,0,0
497,43210,68630,64.11,Self employed,2,0,16,44,0
498,48349,66283,73.93,Self employed,0,0,10,19,0
499,36439,69989,52.87,Self employed,3,0,2,13,0
500,76079,103767,74.2,Salaried,1,1,1,1,0
501,55013,66283,84.49,Salaried,1,0,9,12,0
502,53578,61865,88.9,Salaried,0,0,19,32,0
503,47349,65162,73.66,Salaried,0,0,0,0,1
504,59235,70927,85,Self employed,2,0,14,25,0
505,33584,57941,58.85,Salaried,0,0,0,0,0
506,33739,61866,57.06,Salaried,0,0,6,6,0
507,55213,71394,78.72,Salaried,0,0,0,0,0
508,44394,68309,65.88,Salaried,1,0,11,15,0
509,40394,65368,62.72,Self employed,0,0,0,0,0
510,61213,70459,87.99,Salaried,0,0,22,38,0
511,58459,72865,81.25,Salaried,2,0,32,82,0
